Date,BID,ASK,MID_RATE
2024-04-12,13.0824,13.7532,13.4178
2024-04-15,13.0676,13.7378,13.4027
2024-04-16,13.028,13.696,13.362
2024-04-17,13.0102,13.6772,13.3437
2024-04-19,12.9801,13.6457,13.3129
2024-04-22,12.9567,13.6211,13.2889
2024-04-23,12.9223,13.5849,13.2536
2024-04-24,12.9204,13.583,13.2517
2024-04-25,13.0466,13.7156,13.3811
2024-04-26,13.0863,13.7573,13.4218
2024-04-29,13.1047,13.7767,13.4407
2024-04-30,13.0943,13.7658,13.4301
2024-05-02,13.0835,13.7545,13.419
2024-05-03,13.2151,13.8928,13.554
2024-05-06,13.3338,14.0176,13.6757
2024-05-07,13.3272,14.0106,13.6689
2024-05-08,13.3237,14.0069,13.6653
2024-05-09,13.1943,13.8709,13.5326
2024-05-10,13.1807,13.8567,13.5187
2024-05-13,13.1453,13.8193,13.4823
2024-05-14,13.0772,13.7479,13.4126
2024-05-15,13.0745,13.7449,13.4097
2024-05-16,13.0665,13.7365,13.4015
2024-05-17,13.0627,13.7325,13.3976
2024-05-20,13.036,13.7046,13.3703
2024-05-21,12.9771,13.6425,13.3098
2024-05-22,12.9448,13.6086,13.2767
2024-05-23,12.8878,13.5488,13.2183
2024-05-24,12.8936,13.5548,13.2242
2024-05-27,12.9121,13.5743,13.2432
2024-05-28,12.9469,13.6109,13.2789
2024-05-29,12.971,13.6362,13.3036
2024-05-30,12.9695,13.6347,13.3021
2024-05-31,12.9848,13.6506,13.3177
2024-06-03,12.9781,13.6437,13.3109
2024-06-04,12.9833,13.6491,13.3162
2024-06-06,13.0997,13.7715,13.4356
2024-06-07,13.0951,13.7667,13.4309
2024-06-10,13.0578,13.7274,13.3926
2024-06-11,13.1273,13.8005,13.4639
2024-06-12,13.1612,13.836,13.4986
2024-06-13,13.1468,13.821,13.4839
2024-06-14,13.1433,13.8173,13.4803
2024-06-17,13.1537,13.8283,13.491
2024-06-18,13.1493,13.8237,13.4865
2024-06-19,13.1548,13.8294,13.4921
2024-06-20,13.2424,13.9216,13.582
2024-06-21,13.2505,13.9301,13.5903
2024-06-24,13.2417,13.9207,13.5812
2024-06-25,13.257,13.9369,13.597
2024-06-26,13.261,13.941,13.601
2024-06-27,13.3394,14.0234,13.6814
2024-06-28,13.3605,14.0456,13.7031
2024-07-01,13.36,14.0452,13.7026
2024-07-02,13.3494,14.034,13.6917
2024-07-03,13.3559,14.0409,13.6984
2024-07-04,13.4178,14.1058,13.7618
2024-07-05,13.3522,14.037,13.6946
2024-07-08,13.4167,14.1047,13.7607
2024-07-09,13.3966,14.0836,13.7401
2024-07-10,13.3888,14.0754,13.7321
2024-07-11,13.3924,14.0792,13.7358
2024-07-12,13.4193,14.1075,13.7634
2024-07-15,13.4063,14.0939,13.7501
2024-07-16,13.4123,14.1001,13.7562
2024-07-17,13.3906,14.0774,13.734
2024-07-18,13.381,14.0672,13.7241
2024-07-19,13.3735,14.0593,13.7164
2024-07-22,13.3597,14.0449,13.7023
2024-07-23,13.4089,14.0965,13.7527
2024-07-24,13.4247,14.1131,13.7689
2024-07-25,13.4405,14.1298,13.7852
2024-07-26,13.4375,14.1267,13.7821
2024-07-29,13.4464,14.136,13.7912
2024-07-30,13.4513,14.1411,13.7962
2024-07-31,13.4413,14.1305,13.7859
2024-08-01,13.4502,14.14,13.7951
2024-08-02,13.4296,14.1182,13.7739
2024-08-05,13.4213,14.1095,13.7654
2024-08-06,13.4182,14.1064,13.7623
2024-08-07,13.4371,14.1262,13.7817
2024-08-08,13.457,14.1471,13.8021
2024-08-09,13.4368,14.126,13.7814
2024-08-14,13.4356,14.1247,13.7802
2024-08-15,13.4416,14.131,13.7863
2024-08-16,13.4454,14.135,13.7902
2024-08-19,13.447,14.1366,13.7918
2024-08-20,13.4564,14.1464,13.8014
2024-08-21,13.4593,14.1495,13.8044
2024-08-22,13.4624,14.1528,13.8076
2024-08-23,13.4681,14.1587,13.8134
2024-08-26,13.475,14.166,13.8205
2024-08-27,13.4833,14.1748,13.8291
2024-08-28,13.4702,14.161,13.8156
2024-08-29,13.4928,14.1848,13.8388
2024-08-30,13.5082,14.201,13.8546
2024-09-02,13.5137,14.2068,13.8603
2024-09-03,13.5193,14.2125,13.8659
2024-09-04,13.5229,14.2164,13.8697
2024-09-05,13.5274,14.221,13.8742
2024-09-06,13.5437,14.2383,13.891
2024-09-09,13.5755,14.2717,13.9236
2024-09-10,13.599,14.2964,13.9477
2024-09-11,13.6002,14.2976,13.9489
2024-09-12,13.6005,14.2979,13.9492
2024-09-13,13.6033,14.3009,13.9521
2024-09-16,13.6074,14.3052,13.9563
2024-09-17,13.609,14.3068,13.9579
2024-09-18,13.6118,14.3098,13.9608
2024-09-19,13.6218,14.3204,13.9711
2024-09-23,13.6307,14.3297,13.9802
2024-09-24,13.6358,14.335,13.9854
2024-09-25,13.6414,14.341,13.9912
2024-09-26,13.6487,14.3487,13.9987
2024-09-27,23.7804,25.0,24.3902
2024-09-30,24.261,25.5052,24.8831
2024-10-01,24.5022,25.7588,25.1305
2024-10-02,24.6503,25.9145,25.2824
2024-10-03,24.6493,25.9133,25.2813
2024-10-04,24.7239,25.9917,25.3578
2024-10-07,25.0633,26.3487,25.706
2024-10-08,25.2216,26.515,25.8683
2024-10-09,25.321,26.6196,25.9703
2024-10-10,25.4175,26.7209,26.0692
2024-10-11,25.6726,26.9892,26.3309
2024-10-14,25.708,27.0264,26.3672
2024-10-15,25.8278,27.1522,26.49
2024-10-16,26.005,27.3386,26.6718
2024-10-17,25.9872,27.3198,26.6535
2024-10-18,26.1881,27.5311,26.8596
2024-10-21,26.3363,27.6869,27.0116
2024-10-22,26.3879,27.7411,27.0645
2024-10-23,26.6,27.9642,27.2821
2024-10-24,26.7575,28.1297,27.4436
2024-10-25,26.9958,28.3802,27.688
2024-10-28,27.6584,29.0768,28.3676
2024-10-29,27.8785,29.3081,28.5933
2024-10-30,27.9426,29.3756,28.6591
2024-10-31,27.9632,29.3972,28.6802
2024-11-01,27.9658,29.4,28.6829
2024-11-04,27.2986,28.6986,27.9986
2024-11-05,26.2298,27.575,26.9024
2024-11-06,25.3638,26.6646,26.0142
2024-11-07,25.0484,26.333,25.6907
2024-11-08,24.9496,26.229,25.5893
2024-11-11,24.8577,26.1325,25.4951
2024-11-12,24.8463,26.1205,25.4834
2024-11-13,24.6536,25.9178,25.2857
2024-11-14,24.6523,25.9165,25.2844
2024-11-15,24.6515,25.9157,25.2836
2024-11-18,24.6521,25.9163,25.2842
2024-11-19,24.6526,25.9168,25.2847
2024-11-20,24.6583,25.9229,25.2906
2024-11-21,24.6618,25.9266,25.2942
2024-11-22,24.6993,25.9659,25.3326
2024-11-25,24.7005,25.9671,25.3338
2024-11-26,24.6971,25.9637,25.3304
2024-11-27,24.6993,25.9659,25.3326
2024-11-28,24.7007,25.9675,25.3341
2024-11-29,24.815,26.0876,25.4513
2024-12-02,24.928,26.2064,25.5672
2024-12-03,24.9614,26.2414,25.6014
2024-12-04,24.9248,26.203,25.5639
2024-12-05,24.9649,26.2451,25.605
2024-12-06,24.9729,26.2535,25.6132
2024-12-09,25.0061,26.2885,25.6473
2024-12-10,25.0182,26.3012,25.6597
2024-12-11,25.0205,26.3037,25.6621
2024-12-13,25.053,26.3378,25.6954
2024-12-17,25.0803,26.3665,25.7234
2024-12-18,25.0891,26.3757,25.7324
2024-12-19,25.0981,26.3851,25.7416
2024-12-20,25.1198,26.408,25.7639
2024-12-24,25.125,26.4134,25.7692
2024-12-27,25.1368,26.4258,25.7813
2024-12-30,25.1422,26.4316,25.7869
2024-12-31,25.1535,26.4435,25.7985
2025-01-02,25.181,26.4724,25.8267
2025-01-03,25.177,26.4682,25.8226
2025-01-06,25.1889,26.4807,25.8348
2025-01-07,25.2158,26.509,25.8624
2025-01-08,25.2361,26.5302,25.8832
2025-01-09,25.3731,26.6742,26.0237
2025-01-10,25.4064,26.7093,26.0579
2025-01-13,25.4563,26.7617,26.109
2025-01-14,25.5399,26.8497,26.1948
2025-01-15,25.4965,26.8041,26.1503
2025-01-16,25.6108,26.9242,26.2675
2025-01-17,25.6049,26.9179,26.2614
2025-01-20,25.626,26.9402,26.2831
2025-01-21,25.6407,26.9557,26.2982
2025-01-22,25.6148,26.9284,26.2716
2025-01-23,25.633,26.9476,26.2903
2025-01-24,25.6429,26.9579,26.3004
2025-01-27,25.6631,26.9792,26.3212
2025-01-28,25.6801,26.9971,26.3386
2025-01-29,25.6874,27.0048,26.3461
2025-01-30,25.6914,27.009,26.3502
2025-01-31,25.7065,27.0247,26.3656
2025-02-03,25.7218,27.0408,26.3813
2025-02-04,25.7298,27.0492,26.3895
2025-02-05,25.731,27.0506,26.3908
2025-02-06,25.7417,27.0617,26.4017
2025-02-07,25.747,27.0674,26.4072
2025-02-10,25.7523,27.0729,26.4126
2025-02-11,25.7582,27.0792,26.4187
2025-02-12,25.7605,27.0815,26.421
2025-02-13,25.7711,27.0927,26.4319
2025-02-14,25.7756,27.0974,26.4365
2025-02-17,25.7815,27.1037,26.4426
2025-02-18,25.7895,27.1121,26.4508
2025-02-19,25.7947,27.1175,26.4561
2025-02-24,25.8257,27.1501,26.4879
2025-02-25,25.8223,27.1465,26.4844
2025-02-26,25.8387,27.1637,26.5012
2025-02-27,25.8885,27.2161,26.5523
2025-02-28,25.8975,27.2255,26.5615
2025-03-03,25.9184,27.2476,26.583
2025-03-06,25.9699,27.3017,26.6358
2025-03-10,25.9824,27.3148,26.6486
2025-03-11,25.9858,27.3184,26.6521
2025-03-12,26.0036,27.3372,26.6704
2025-03-13,25.9968,27.33,26.6634
2025-03-14,26.0028,27.3362,26.6695
2025-03-21,26.0392,27.3746,26.7069
2025-03-24,26.052,27.388,26.72
2025-03-25,26.0597,27.3961,26.7279
2025-03-26,26.0624,27.399,26.7307
2025-03-27,26.0727,27.4097,26.7412
2025-03-28,26.0773,27.4145,26.7459
2025-04-01,26.1027,27.4413,26.772
2025-04-02,26.1045,27.4431,26.7738
2025-04-03,26.109,27.448,26.7785
2025-04-04,26.1167,27.4561,26.7864
2025-04-14,26.1475,27.4883,26.8179
2025-04-15,26.1491,27.4901,26.8196
2025-04-16,26.1242,27.464,26.7941
2025-04-17,26.1294,27.4694,26.7994
2025-04-22,26.1387,27.4791,26.8089
2025-04-23,26.1499,27.4909,26.8204
2025-04-24,26.1582,27.4996,26.8289
2025-04-25,26.1337,27.4739,26.8038
2025-05-05,26.1503,27.4913,26.8208
2025-05-06,26.1565,27.4979,26.8272
2025-05-07,26.1599,27.5015,26.8307
2025-05-08,26.1629,27.5045,26.8337
2025-05-09,26.1691,27.5111,26.8401
2025-05-12,26.1784,27.5208,26.8496
2025-05-13,26.1846,27.5274,26.856
2025-05-14,26.1904,27.5334,26.8619
2025-05-15,26.1924,27.5356,26.864
2025-05-16,26.1978,27.5412,26.8695
2025-05-21,26.2132,27.5574,26.8853
2025-05-22,26.2189,27.5635,26.8912
2025-05-23,26.2238,27.5686,26.8962
2025-05-27,26.2289,27.5739,26.9014
2025-05-28,26.2297,27.5749,26.9023
2025-05-29,26.2311,27.5763,26.9037
2025-05-30,26.2374,27.583,26.9102
2025-06-02,26.2483,27.5943,26.9213
